name,pressure_Pa_from_file2,propane_Henry_from_file2,|Qst(propane)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction,length_a,length_b,length_c,angle_alpha,angle_beta,angle_gamma
FIJZEE_clean-(id_176451),4000000,3.20162,46.70178111,90.1185,89.5704,89.9024,90.1924,90.8146,92.2349,93.3025,94.0514,95.7906,73.2827,88.3527,90.2963,93.4432,97.9184,103.695,110.286,114.464,116.565,120.321,119.427,119.101,119.427,119.496,120.049,120.015,120.109,120.522,120.136,120.671,120.671,120.671,120.671,121.056,121.294,121.293,121.293,121.293,121.337,6.47542,7.37726,874.8,480.405,0.4718,13.8603,23.1285,8.542,90,90,90
FILYAC_clean-(id_176453),4000000,0.00617306,31.51314075,181.53,189.861,193.788,198.844,202.888,207.74,215.388,220.465,222.343,7.38951,28.4121,88.7173,174.028,198.216,211.496,233.913,244.256,247.261,252.635,255.924,255.789,256.691,257.38,256.639,259.317,257.966,262.879,262.486,266.391,262.891,261.797,262.424,264.879,264.017,267.211,268.439,267.94,269.672,4.94176,5.64031,1576.38,1258.04,0.554,28.764,21.682,10.933,90,90,90
FILYEG_clean-(id_176454),4000000,0.000865584,24.76251056,166.165,240.491,271.525,281.316,290.569,300.887,311.53,320.946,328.047,0.0269449,0.239252,2.49767,24.2135,218.416,313.761,357.919,364.878,368.161,370.283,373.064,377.906,375.989,380.73,382.46,377.952,380.529,385.666,380.564,384.599,383.349,385.447,387.557,386.762,390.19,390.385,389.833,391.44,389.98,5.3287,7.61133,1916.91,1792.48,0.6258,10.806,24.329,28.554,90,90,93.658
FIMNIA_clean-(id_176455),4000000,0.000149489,21.04687985,36.0701,124.391,167.047,180.888,191.049,199.642,202.656,205.801,210.063,0.00664183,0.0717318,0.715989,6.8439,52.8932,194.566,209.636,210.301,210.886,211.036,211.332,211.484,211.792,211.387,211.639,211.642,212.15,212.048,212.713,212.096,212.927,212.585,212.368,213.956,213.668,213.177,214.584,214.362,214.802,3.56541,8.67616,1522.94,1014.24,0.6126,12.0216,13.9379,22.7658,95.825,104.722,104.036
FIMXUW_clean-(id_176456),4000000,0.00301646,35.60776201,62.5996,66.5285,72.8778,78.8978,79.8366,81.2685,81.3257,81.3257,81.3257,0.0582382,0.60443,6.97236,56.844,77.7443,80.9266,81.2846,81.3199,81.3257,81.3158,81.3257,81.3257,81.3076,81.3257,81.3263,81.3239,81.3257,81.3229,81.3261,81.3257,81.3261,81.3257,81.3257,81.326,81.3257,81.3273,81.3258,81.3262,81.3257,3.57593,4.96245,760.785,371.594,0.4152,10.5672,14.5418,17.0574,69.3819,71.9555,68.6946
FINQOK_clean-(id_176459),4000000,0.000166881,21.03269766,42.4804,149.345,184.041,203.606,214.313,221.569,225.589,229.979,235.465,0.00800408,0.0714081,0.807029,7.74652,62.5971,213.607,235.167,238.664,239.375,240.43,240.655,240.595,240.779,240.889,240.99,241.243,241.293,241.195,241.558,241.32,241.298,242.11,241.452,241.58,241.705,242.04,241.511,241.914,242.727,4.60012,8.7337,1628.14,1163.2,0.614,12.042,13.967,22.754,95.802,105.211,104.118
FINQUQ_clean-(id_176460),4000000,0.000168022,21.03973675,42.3901,148.928,181.876,194.727,207.319,215.982,222.851,227.565,233.078,0.00804598,0.0719948,0.738512,7.25559,66.6919,210.574,234.533,237.079,239.274,240.069,240.77,240.345,240.294,240.774,240.668,240.806,241,240.993,241.001,241.104,241.208,241.187,241.128,241.415,241.695,241.37,241.316,241.315,241.301,4.51126,8.681,1585.78,1119.14,0.6192,12.0117,13.936,22.602,77.088,74.657,75.524
FIPJAR_clean-(id_176461),4000000,0.0174691,37.10206686,120.09,121.78,122.808,127.712,155.932,182.418,195.921,201.148,202.638,0.452615,4.61526,47.9,111.938,144.964,199.19,202.405,202.486,202.571,202.731,203.067,203.427,203.008,203.019,202.937,203.264,202.959,203.723,202.879,204.805,204.739,203.709,203.773,205.626,205.239,204.721,205.584,202.888,206.897,3.65359,5.38201,1135.66,762.952,0.5586,7.0688,11.4644,16.421,82.92,77.5706,72.0436
FIPJEV_clean-(id_176462),4000000,0.627011,46.33330089,104.541,106.005,111.889,125.004,135.193,147.358,153.248,158.504,160.049,55.7719,86.143,102.086,110.509,163.378,173.161,174.235,174.202,174.444,174.678,174.484,175.027,175.326,175.211,174.899,175.218,174.711,175.031,174.751,175.493,175.223,175.285,175.43,175.137,176.762,175.878,175.29,176.474,177.596,3.75413,5.48611,1138.25,669.081,0.4918,21.8879,7.0573,19.2414,90,122.344,90
FIPKOG01_clean-(id_176464),4000000,0.00254395,33.51464641,216.067,236.817,251.477,268.548,272.073,278.187,281.5,281.825,283.847,0.468431,4.84819,50.5589,174.027,264.259,282.481,306.603,311.16,312.869,313.855,316.769,315.269,317.198,316.72,315.023,316.572,317.287,318.109,318.193,318.741,320.362,320.08,321.372,318.739,317.671,317.028,320.884,322.837,323.834,4.8064,6.5379,1614.42,1479.13,0.5916,10.184,10.348,18.091,102.34,99.19,93.95
