name,prediction_propane
RAVXOD_clean-(id_181767),0.01748594
RAVXIX_clean-(id_181766),0.017276483
BUNKUS_clean-(id_174662),0.07200922
BUNLAZ_clean-(id_174663),0.013849397
EMIZAD_clean-(id_175921),0.018789835
LETREJ_clean-(id_179170),0.020961877
BUXZAX_clean-(id_174699),0.013861302
BEDYEQ_clean-(id_174431),0.016670149
c6ce00407e_c6ce00407e5_clean-(id_174721),0.0025699944
c6ce00407e_c6ce00407e4_clean-(id_174720),0.002639883
ja403810k_si_003_clean-(id_178221),0.003509752
BAZGAM_clean-(id_174427),0.0032799088
UHUPOD01_clean-(id_183032),0.003529863
IZERAI_clean-(id_178151),7.940342
BIGZUO_clean-(id_174539),0.0025098445
DUZKAM_clean-(id_175662),0.044400267
IWEWOY_clean-(id_178051),0.3683
ja403810k_si_002_clean-(id_178220),0.0058488566
AVAJUE_clean-(id_174246),0.0032598833
OJIDAN_clean-(id_180528),0.034333255
YENLUA_ion_b-(id_184931),0.025095299
XIGFOJ_manual-(id_184632),0.035167724
UNUNEY_clean-(id_183243),0.0024599321
BIHBAX_clean-(id_174540),0.0024298325
LETQAE_clean-(id_185640),0.019824164
NIBJAK_clean-(id_180124),0.0036298474
RAVWAO_clean-(id_181759),0.11213075
KUZYUB_clean-(id_178922),0.2801622
DADLOM_clean-(id_175304),0.41341257
OVUNIE_clean-(id_180813),3.0905442
LETQAE01_ion_b-(id_179169),0.041406386
BIHBEB_clean-(id_174541),8.376605
ADUROI_clean-(id_173961),0.006917453
QIYDOT_clean-(id_181477),0.0028798932
ATIJUJ_manual-(id_174230),0.002559211
BIPSUQ_clean-(id_174558),0.012196102
WEBJOE_clean-(id_183984),0.24158122
MALSOK_clean-(id_179534),0.022432256
MALRUP_clean-(id_179530),0.020812558
MALSAW_clean-(id_179531),0.020936862
MALSEA_clean-(id_179532),0.021852357
MALSIE_clean-(id_179533),0.021965563
MALROJ_clean-(id_179528),0.023412121
ja5b02999_si_002_clean-(id_178276),0.01343144
ja300034j_si_002_clean-(id_178207),0.03065032
WEBJUK_clean-(id_183985),0.543876
LIBHAH_clean-(id_179198),10.376327
DUZKEQ_clean-(id_185731),0.014115963
LETPUX_clean-(id_185425),0.018944668
LETPUX01_clean-(id_179168),0.01903628
RAVVUH_clean-(id_181758),0.053605184
ZOKGAJ_clean-(id_185577),0.03705681
SALXIP_clean-(id_182183),0.007292954
WEBJIY_clean-(id_183983),1.0315536
IJEXUS_clean-(id_177816),0.02674716
HEXVEM_clean-(id_177279),0.005409449
FIDRIV_clean-(id_176400),0.010735704
c6ce00407e_c6ce00407e7_clean-(id_174723),0.018433286
CUSXOE_clean-(id_175237),0.005489148
XIDSUZ_clean-(id_184628),0.044500075
JOYKUF_clean-(id_178458),0.020835541
FEBXIV_clean-(id_176313),0.014631966
EDUWAB_clean-(id_175777),0.0072276294
AXINAX_clean-(id_174320),0.037173513
IKOVAH_clean-(id_177846),0.3192299
FISXEM_clean-(id_176485),0.94470686
IKOTUZ_clean-(id_177845),0.42693478
IKOVEL_clean-(id_177847),0.43720323
XAHPON_clean-(id_184413),0.0149751315
GULVUF_clean-(id_177042),0.16079676
EMIREX_clean-(id_175918),0.015538542
WOMXED_clean-(id_184229),3.9592779
SALXEL_clean-(id_182182),0.022536028
HOHMEX_manual-(id_177384),0.008677596
NIBHOW_clean-(id_180122),0.0048294393
JUTCIM_clean-(id_178501),0.41268104
KOJZIT_clean-(id_178774),0.10207145
FIFGEI_clean-(id_176402),0.01780096
RUTNOK_manual-(id_182094),0.0054095457
ALEJAE_clean-(id_174042),0.009337402
DOGBAE_clean-(id_175512),0.13770111
YUXQIS_clean-(id_184977),0.097602256
LOQLEJ_manual-(id_179304),0.60378444
SUNLAP_clean-(id_182502),0.013829062
ja408959g_si_003_clean-(id_178234),0.060864735
NUSXEG_clean-(id_180356),0.013869384
XONLES_clean-(id_184744),0.0155846365
IXEJOM_clean-(id_178069),0.035237867
OCUNAC_manual-(id_180427),0.3211884
XONLES01_clean-(id_184745),0.015721986
BAZGEQ_clean-(id_174428),0.011180227
LOQLIN_SL-(id_185471),0.14717917
OXOLAP_SL-(id_185167),7.1298137
LUYSOP_clean-(id_179439),2.1787102
VUKHOZ_clean-(id_183799),0.0040166466
LOXKAM_clean-(id_179320),1.8478538
ERAMUH_clean-(id_176001),6.675253
ABEXEN_clean-(id_173874),0.32202223
KOJZEP_manual-(id_178773),0.0899005
YARXEX_clean-(id_185838),0.02131186
ja5b02999_si_006_clean-(id_178279),0.0293218
ZIVCOY_clean-(id_185866),0.07568124
DOMCUE_clean-(id_175534),0.0037484723
ERALIU_clean-(id_175996),1.6710771
ADASAB_charged-(id_173937),0.0039093606
DOKDEN_clean-(id_175525),0.36035636
GITVEL_clean-(id_176926),0.049359147
GITVEL01_clean-(id_176927),0.047600705
MUNDOQ_clean-(id_179879),0.0199363
ic502643m_si_011_clean-(id_177668),0.043985542
CUSXIY_clean-(id_175236),0.0031597142
ADATEG_manual-(id_173940),0.0037996164
IVILEG_clean-(id_178026),0.11031197
ACOCUS_clean-(id_173894),0.020472553
RUYVIS_clean-(id_182124),0.01362568
OKUSUK_clean-(id_180596),0.018946487
VEMMIK_clean-(id_183587),0.00829381
TOVKOG_clean-(id_182855),0.02494778
XUTQEI_clean-(id_184861),0.020941392
ACODAZ_clean-(id_173895),0.019763071
FIHHUB_SL-(id_185097),0.074963786
XODPUD_clean-(id_184707),0.20264086
PAQMAY_clean-(id_180922),0.05482015
ja5b02999_si_004_clean-(id_178278),0.03918715
ACOCOM_clean-(id_173893),0.020969532
OKUTEV_clean-(id_180598),0.020458052
IGAGUU_clean-(id_177762),0.06731704
NATKIF_clean-(id_180018),0.068414375
NALYEG_clean-(id_179970),0.030549673
QAQMON_clean-(id_181344),0.09670339
OHUMEL_clean-(id_180521),0.0018697014
VETTIZ_charged-(id_183606),1.0011828
ZUCKIT_clean-(id_185076),0.33805126
YOZCEW_clean-(id_185146),0.65102106
ic502643m_si_012_clean-(id_177669),0.101213425
MUNDEG_clean-(id_179878),0.023604706
KIYXUN_clean-(id_178748),0.0067436546
LUTZEH_clean-(id_179422),0.007056996
XAVKIR_clean-(id_184528),0.35703892
XOXMED_clean-(id_184782),0.03120761
VETSOE_charged-(id_183604),0.6387639
WUTBEU_clean-(id_184343),0.03007907
WOLYON_clean-(id_184225),0.013718076
LUBMAW_clean-(id_179329),0.027074521
NUTYEI_clean-(id_180359),0.0415593
NUTYIM_clean-(id_180360),0.040686786
CEKNIQ_clean-(id_174851),0.011963528
TADWEC_manual-(id_182544),1.2229068
CUSYAR_clean-(id_175238),0.0038996146
ADATIK_clean-(id_173941),0.021137977
EJESUJ_clean-(id_175834),0.016745234
BAZJET_clean-(id_174429),0.08596926
ic502643m_si_010_clean-(id_177667),0.061783366
DAPXID_ion_b-(id_175362),0.01180001
HIFGIO_SL-(id_185766),0.1238857
CUVHIL_clean_h-(id_175254),0.43343756
CUVHIL02_clean_h-(id_184845),0.42167118
CUVHEH_clean-(id_185570),0.34472468
CUVHIL01_clean-(id_175255),0.4108199
TADWIG_manual-(id_182545),2.0639746
YOZQEK_clean-(id_185341),0.008704034
VETTAR_charged-(id_183605),1.1598957
POMMAH_clean-(id_181176),2.6819594
MOXPUL_clean-(id_179834),0.12810884
OYERIV_clean-(id_180855),0.79426825
VETMIS_clean-(id_183603),0.009887084
