name,pressure_Pa_from_file2,propylene_Henry_from_file2,|Qst(propylene)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction
acs.inorgchem.5b02378_ic5b02378_si_002_clean-(id_185446),4000000,0.0130558,50.30683287,58.27978225,58.2278955,58.31822158,59.60219637,59.94250487,60.14516762,59.06087431,59.49271408,59.10572019,60.6704,60.8867,60.8938,60.8909,60.894,60.894,60.894,60.894,60.894,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.3697,61.8434,61.8455,61.8455,61.8455,61.8455,61.8455,61.8455,61.8455,3.57212,3.84352,318.947,136.059,0.356
acscombsci.5b00188_3001288_clean-(id_185168),4000000,1.44E-05,6.842928949,0.458751386,2.24358104,7.451126187,21.03327364,57.33197783,153.2241608,308.1722233,679.385729,3805.213803,0,0.00119466,0.0113493,0.101547,1.02204,9.78192,57.8809,105.685,166.941,225.908,258.208,299.113,337.973,367.649,403.906,444.008,469.596,530.004,584.292,601.325,634.149,698.13,747.824,910.917,1080.09,1321.79,4535.47,4526.3,4546.57,23.6004,29.4137,881.282,5644.76,0.9382
acscombsci.5b00188_5020072_clean-(id_185448),4000000,4.20E-05,12.66869269,2.014991629,7.636718655,30.16927113,93.25975414,288.5153879,591.6124936,1081.505671,1175.303199,1236.966673,0.000726161,0.0044607,0.0419098,0.431132,4.04337,35.2875,312.934,566.28,806.017,1252.16,1309.79,1326.15,1344.86,1361.03,1367.65,1381.05,1385.56,1399.64,1408.54,1404.59,1411.68,1420.31,1422.37,1442.76,1461.77,1472.68,1474.38,1479.45,1477.19,11.9412,14.4697,1931.96,4497.16,0.8224
acscombsci.5b00188_5024922_clean-(id_185586),4000000,2.95E-05,11.20269003,0.728321603,3.024831193,12.27757765,44.20124798,152.6178249,311.4375927,596.1205755,1820.445879,1926.291185,0,0.00164036,0.0161302,0.175109,1.64638,15.3542,145.049,242.006,353.898,444.278,527.19,619.921,718.955,848.759,2080.4,2094.1,2109.83,2147.14,2170.17,2188.53,2190.59,2203.99,2225.22,2242.63,2262.84,2264.8,2295.37,2293.39,2298.31,15.8562,20.5205,1403.53,4757.71,0.8866
acscombsci.5b00188_5036495_clean-(id_185111),4000000,2.80E-05,9.432311183,0.313168078,1.295259036,6.100285795,27.29496169,159.2836243,683.4459807,1452.580047,1549.742652,1608.206927,0.00051935,0.00051935,0.00908863,0.0877702,0.92704,9.29299,129.742,414.102,1603.83,1676.09,1725.62,1750.14,1783.05,1801.06,1803.03,1826.47,1834.1,1838.44,1868.29,1864.59,1871,1887.61,1900.56,1895.74,1904.19,1924.44,1936.33,1928.08,1941.78,9.02496,10.8747,2296.38,6786.58,0.8498
ALULEZ_clean-(id_174068),4000000,2.65E-05,11.90367799,9.599326236,32.33100778,70.0694127,118.1657991,214.3865475,431.9601096,793.3693308,1204.060222,1256.950014,0.00276075,0.0226382,0.221413,2.27762,18.6437,79.3419,225.41,340.479,567.2,708.954,1298.63,1341.76,1369.5,1383.62,1392.68,1398.97,1412.15,1425.34,1435.32,1444.17,1444.39,1457.8,1457.79,1468.59,1484.27,1485.89,1496.64,1491.86,1505.39,13.3791,18.755,1475.35,3463.71,0.8336
APUPEH_clean-(id_174126),4000000,7.48E-05,16.7951364,12.90321044,39.72270326,82.26265385,113.2360442,161.0125184,243.1669097,580.5942694,1802.728009,1925.244397,0.00181446,0.0160277,0.165116,1.72041,15.2992,74.9679,165.058,206.852,276.686,349.801,438.499,574.557,694.175,875.916,2105.28,2123.4,2153.45,2178.65,2209.13,2201.89,2226.27,2228.9,2239.57,2271.22,2302.01,2288.7,2322.4,2325.71,2317.16,14.092,24.7893,1535.12,5147.71,0.8874
AVAKAL_clean-(id_174247),4000000,2.76E-05,8.54032078,0.806618173,2.970624352,14.19904917,51.48225821,181.3547436,487.4227206,988.131358,2712.53223,2884.312999,0.000267624,0.000535248,0.0160574,0.193492,1.81717,17.7237,163.708,315.633,559.467,768.457,948.147,1125.85,1323.88,2413.39,3150.51,3183.93,3219.44,3269.77,3298.28,3305.67,3330.64,3322.18,3366.87,3388.83,3421.98,3431.22,3448.63,3451.33,3459.6,12.5751,26.2529,1259.45,6072.13,0.913
AVAKEP_clean-(id_174248),4000000,4.57E-05,11.89017902,11.03954417,35.07613448,96.09019783,218.2283684,372.3664684,654.4216392,1230.659635,2251.074787,2381.285429,0.00136984,0.0168947,0.165066,1.72668,16.2529,107.208,429.218,597.88,786.951,940.71,1110.56,1767.17,2042.33,2546.21,2595.73,2607.77,2644.43,2679.3,2699.76,2709.11,2721.18,2736.66,2753.15,2778.84,2795.12,2823.85,2822.42,2826.35,2834.13,12.4937,25.1756,1420.93,5799.87,0.8902
AXINAX01_clean-(id_174321),4000000,0.00024139,21.62847948,68.86582259,99.6850826,145.4433342,216.8355735,333.2024306,535.6035628,803.1081591,1293.232554,1354.162596,0.038036,0.356989,3.43355,24.6826,79.3675,168.85,376.458,510.398,688.191,800.121,890.557,1227.98,1441.9,1469.3,1473.42,1486.23,1492.31,1514.72,1522.69,1537.38,1537.49,1539.13,1543.27,1567.66,1570.18,1583.5,1585.61,1601.6,1590.46,13.2777,19.4749,1509.07,3753.89,0.8346
BAZFUF_clean-(id_174425),4000000,4.33E-05,11.02073328,1.668898706,6.858603544,28.9470516,101.5874339,387.4393045,1060.597446,1515.247405,1632.641865,1679.8194,0.00035194,0.0035194,0.0313227,0.330472,3.44444,31.9709,433.063,1036.47,1514.04,1746.59,1783.58,1800.1,1818.74,1836,1847.69,1871.23,1862.36,1875.74,1878.97,1885.48,1895.23,1929.07,1921.19,1938.02,1959.55,1969.71,1964.55,1976.03,1972.7,8.58384,20.246,1825.41,5368.02,0.8648
BAZFUF01_clean-(id_174426),4000000,4.39E-05,11.11882942,1.681568539,7.333018439,29.27998667,103.0641735,407.0170136,1069.436063,1502.802812,1638.82756,1664.53958,0.00070388,0.00387134,0.0327304,0.371297,3.72423,34.0544,458.229,1054.11,1527.35,1719.27,1763.43,1798.27,1818.25,1807.88,1841.24,1836.72,1859.5,1868.08,1893.15,1895.32,1893.41,1903.87,1929.12,1919.31,1938.6,1951.02,1970.61,1940.14,1972.82,8.54605,20.1457,1831.33,5353.8,0.863
BEWCUD_clean-(id_174503),4000000,0.000110801,14.76546087,7.421502584,29.17086668,129.477345,396.1351493,860.1502023,1023.253834,1070.535243,1098.265615,1141.465942,0.00095397,0.0125924,0.112568,1.15469,11.5266,137.947,1167.42,1208.56,1238.33,1256.36,1262.11,1292.51,1280.63,1284.01,1293.78,1298.09,1304.54,1314.71,1320.62,1316.25,1316.55,1328.59,1336.27,1338.43,1344.41,1348.89,1341.65,1344.3,1348.15,9.61646,11.4301,2123.61,4456.97,0.8196
BIWSEG_ion_b-(id_174569),4000000,0.000601976,29.85425018,34.18445019,77.02817912,119.7728605,154.3504601,243.4229127,364.2218714,445.636816,573.8469669,1119.928897,2.04112,10.0827,17.7098,21.5096,49.0199,138.071,276.379,381.803,448.268,485.201,509.575,544.293,543.985,573.376,584.707,594.018,607.809,619.531,655.019,665.142,679.46,1246.47,1260.24,1268.48,1281.46,1280.84,1290.6,1294.41,1295.43,11.97,29.7351,1434.98,3073.15,0.843
c5qi00128e_c5qi00128e2_clean-(id_185529),4000000,0.0181469,34.1355043,322.234953,330.0571712,337.2868902,332.8050979,336.8507316,338.9124345,338.7524245,339.2533528,341.8446197,123.587,326.077,342.73,344.434,344.584,344.585,344.588,344.588,344.588,344.588,344.588,344.613,344.588,344.588,344.672,344.588,344.588,344.588,344.694,344.588,344.792,344.789,344.588,344.77,344.703,344.618,344.692,345.188,344.88,3.73125,6.58115,1853.01,1865.55,0.582
CADZIT_clean-(id_174740),4000000,6.69E-06,29.39291912,89.68729943,89.68976591,89.68976591,89.68976591,89.68976591,89.68976591,89.68976591,89.68976591,89.68984064,33.1774,85.1865,89.3493,89.6464,89.6897,89.6928,89.8807,89.7275,89.7073,90.1867,89.9479,90.6121,90.3203,90.8114,90.1171,90.8816,91.1115,91.1203,91.7836,91.613,90.3039,91.5372,91.3143,91.2304,92.2272,91.107,93.2723,94.7578,93.6167,3.53659,4.17501,543.593,430.693,0.4638
CAVPEW_manual-(id_174783),4000000,6.57E-05,12.89437286,5.397079673,20.61439639,78.63999682,248.2907265,736.6145312,941.0268835,1224.725017,1295.262983,1313.875914,0.000874257,0.00553696,0.0947112,0.929918,9.81558,91.6079,935.559,1065.87,1292.18,1403.25,1426.28,1448.74,1456.95,1469.92,1482.21,1476.98,1483.14,1496.26,1493.51,1504.43,1500.28,1516.59,1515.99,1521.66,1523.21,1545.75,1539.65,1544.97,1550.6,7.7782,20.2591,1930.55,4794.14,0.8198
