name,prediction_propane
RAVXOD_clean-(id_181767),0.012005587
RAVXIX_clean-(id_181766),0.012489201
BUNKUS_clean-(id_174662),0.039073143
BUNLAZ_clean-(id_174663),0.009956708
EMIZAD_clean-(id_175921),0.012552913
LETREJ_clean-(id_179170),0.01724695
BUXZAX_clean-(id_174699),0.010694465
BEDYEQ_clean-(id_174431),0.013419978
c6ce00407e_c6ce00407e5_clean-(id_174721),0.0022999959
c6ce00407e_c6ce00407e4_clean-(id_174720),0.0023599179
ja403810k_si_003_clean-(id_178221),0.0028998225
BAZGAM_clean-(id_174427),0.0028099124
UHUPOD01_clean-(id_183032),0.002999917
IZERAI_clean-(id_178151),4.787632
BIGZUO_clean-(id_174539),0.0021198934
DUZKAM_clean-(id_175662),0.02587013
IWEWOY_clean-(id_178051),0.21295352
ja403810k_si_002_clean-(id_178220),0.004699397
AVAJUE_clean-(id_174246),0.0027799334
OJIDAN_clean-(id_180528),0.022443919
YENLUA_ion_b-(id_184931),0.014501171
XIGFOJ_manual-(id_184632),0.02457143
UNUNEY_clean-(id_183243),0.002099955
BIHBAX_clean-(id_174540),0.0020698945
LETQAE_clean-(id_185640),0.016129179
NIBJAK_clean-(id_180124),0.0030398967
RAVWAO_clean-(id_181759),0.07195514
KUZYUB_clean-(id_178922),0.17117316
DADLOM_clean-(id_175304),0.20173328
OVUNIE_clean-(id_180813),2.082382
LETQAE01_ion_b-(id_179169),0.031391673
BIHBEB_clean-(id_174541),7.6736517
ADUROI_clean-(id_173961),0.0050484035
QIYDOT_clean-(id_181477),0.0024699275
ATIJUJ_manual-(id_174230),0.0019795818
BIPSUQ_clean-(id_174558),0.0089465445
WEBJOE_clean-(id_183984),0.1428318
MALSOK_clean-(id_179534),0.01595762
MALRUP_clean-(id_179530),0.014858265
MALSAW_clean-(id_179531),0.015034096
MALSEA_clean-(id_179532),0.0155911
MALSIE_clean-(id_179533),0.015703147
MALROJ_clean-(id_179528),0.016599135
ja5b02999_si_002_clean-(id_178276),0.009205118
ja300034j_si_002_clean-(id_178207),0.021455953
WEBJUK_clean-(id_183985),0.3117285
LIBHAH_clean-(id_179198),8.997909
DUZKEQ_clean-(id_185731),0.008930875
LETPUX_clean-(id_185425),0.015211301
LETPUX01_clean-(id_179168),0.015270852
RAVVUH_clean-(id_181758),0.037379116
ZOKGAJ_clean-(id_185577),0.04272572
SALXIP_clean-(id_182183),0.005126935
WEBJIY_clean-(id_183983),0.5603517
IJEXUS_clean-(id_177816),0.015758278
HEXVEM_clean-(id_177279),0.004259704
FIDRIV_clean-(id_176400),0.008253476
c6ce00407e_c6ce00407e7_clean-(id_174723),0.013121594
CUSXOE_clean-(id_175237),0.00437963
XIDSUZ_clean-(id_184628),0.030184763
JOYKUF_clean-(id_178458),0.014726512
FEBXIV_clean-(id_176313),0.010480998
EDUWAB_clean-(id_175777),0.00587849
AXINAX_clean-(id_174320),0.026154349
